event_id,event_type,event_repository,code_sample_event,event_created_at,event_payload,event_action,language
21183023624,PushEvent,JoseAlcerreca/android-architecture,0.0,2022-04-08T09:48:29Z,"{'push_id': 9572888991, 'size': 1, 'distinct_size': 1, 'ref': 'refs/heads/sharedTest', 'head': 'e23cb0cf4c744e8784d2a42b08b6fdf525a5d819', 'before': '2091586804064592dd9427dc9e1ef9f90e3577ac', 'commits': [{'sha': 'e23cb0cf4c744e8784d2a42b08b6fdf525a5d819', 'author': {'email': 'jalc@google.com', 'name': 'Jose Alcérreca'}, 'message': 'Using symlinks for sharedTest', 'distinct': True, 'url': 'https://api.github.com/repos/JoseAlcerreca/android-architecture/commits/e23cb0cf4c744e8784d2a42b08b6fdf525a5d819'}]}",,Kotlin
21182993976,CreateEvent,JoseAlcerreca/android-architecture,0.0,2022-04-08T09:46:48Z,"{'ref': 'sharedTest', 'ref_type': 'branch', 'master_branch': 'master', 'description': 'A collection of samples to discuss and showcase different architectural tools and patterns for Android apps.', 'pusher_type': 'user'}",,Kotlin
21182985330,CreateEvent,JoseAlcerreca/android-architecture,0.0,2022-04-08T09:46:18Z,"{'ref': 'main', 'ref_type': 'branch', 'master_branch': 'master', 'description': 'A collection of samples to discuss and showcase different architectural tools and patterns for Android apps.', 'pusher_type': 'user'}",,Kotlin
20935248574,PushEvent,JoseAlcerreca/android-architecture,0.0,2022-03-25T12:08:47Z,"{'push_id': 9447353725, 'size': 1, 'distinct_size': 1, 'ref': 'refs/heads/gmd1', 'head': 'e512cb6862506d5d6ea93e0dd59cc36cfea8bd31', 'before': '9dcad0120ed2ff9553683946fcd89e8c5dd523ed', 'commits': [{'sha': 'e512cb6862506d5d6ea93e0dd59cc36cfea8bd31', 'author': {'email': 'jalc@google.com', 'name': 'Jose Alcérreca'}, 'message': 'Adds ATD to non-GMD runs', 'distinct': True, 'url': 'https://api.github.com/repos/JoseAlcerreca/android-architecture/commits/e512cb6862506d5d6ea93e0dd59cc36cfea8bd31'}]}",,Kotlin
20933447233,PushEvent,JoseAlcerreca/android-architecture,0.0,2022-03-25T10:18:00Z,"{'push_id': 9446459319, 'size': 1, 'distinct_size': 1, 'ref': 'refs/heads/gmd1', 'head': '9dcad0120ed2ff9553683946fcd89e8c5dd523ed', 'before': '21bd36f2f6a7c14a145fa11eb820595542b06c43', 'commits': [{'sha': '9dcad0120ed2ff9553683946fcd89e8c5dd523ed', 'author': {'email': 'jalc@google.com', 'name': 'Jose Alcérreca'}, 'message': 'Adds non-atd run', 'distinct': True, 'url': 'https://api.github.com/repos/JoseAlcerreca/android-architecture/commits/9dcad0120ed2ff9553683946fcd89e8c5dd523ed'}]}",,Kotlin
20932629524,PushEvent,JoseAlcerreca/android-architecture,0.0,2022-03-25T09:31:28Z,"{'push_id': 9446058497, 'size': 1, 'distinct_size': 1, 'ref': 'refs/heads/gmd1', 'head': '21bd36f2f6a7c14a145fa11eb820595542b06c43', 'before': '82cea8e41e12cc921670399f0d4e268d8bc6e27c', 'commits': [{'sha': '21bd36f2f6a7c14a145fa11eb820595542b06c43', 'author': {'email': 'jalc@google.com', 'name': 'Jose Alcérreca'}, 'message': 'Now fixing instr tests, moving to x86_64', 'distinct': True, 'url': 'https://api.github.com/repos/JoseAlcerreca/android-architecture/commits/21bd36f2f6a7c14a145fa11eb820595542b06c43'}]}",,Kotlin
20932072190,PushEvent,JoseAlcerreca/android-architecture,0.0,2022-03-25T08:58:44Z,"{'push_id': 9445787226, 'size': 1, 'distinct_size': 1, 'ref': 'refs/heads/gmd1', 'head': '82cea8e41e12cc921670399f0d4e268d8bc6e27c', 'before': '3d0ada0cd959b77d41377f20fcff8057ab5c5bdc', 'commits': [{'sha': '82cea8e41e12cc921670399f0d4e268d8bc6e27c', 'author': {'email': 'jalc@google.com', 'name': 'Jose Alcérreca'}, 'message': 'Adds compile androidtest step', 'distinct': True, 'url': 'https://api.github.com/repos/JoseAlcerreca/android-architecture/commits/82cea8e41e12cc921670399f0d4e268d8bc6e27c'}]}",,Kotlin
20923732977,PushEvent,JoseAlcerreca/android-architecture,0.0,2022-03-24T20:07:11Z,"{'push_id': 9441495370, 'size': 1, 'distinct_size': 1, 'ref': 'refs/heads/gmd1', 'head': '3d0ada0cd959b77d41377f20fcff8057ab5c5bdc', 'before': '24d30cc9bc6158fbc14e3ed31786d2e1e2dff60c', 'commits': [{'sha': '3d0ada0cd959b77d41377f20fcff8057ab5c5bdc', 'author': {'email': 'jalc@google.com', 'name': 'Jose Alcérreca'}, 'message': 'back to mac', 'distinct': True, 'url': 'https://api.github.com/repos/JoseAlcerreca/android-architecture/commits/3d0ada0cd959b77d41377f20fcff8057ab5c5bdc'}]}",,Kotlin
20921413288,PushEvent,JoseAlcerreca/android-architecture,0.0,2022-03-24T17:44:40Z,"{'push_id': 9440350268, 'size': 1, 'distinct_size': 1, 'ref': 'refs/heads/gmd1', 'head': '24d30cc9bc6158fbc14e3ed31786d2e1e2dff60c', 'before': '36fe9a8efe735d06f7e43dd818769bce1c43350e', 'commits': [{'sha': '24d30cc9bc6158fbc14e3ed31786d2e1e2dff60c', 'author': {'email': 'jalc@google.com', 'name': 'Jose Alcérreca'}, 'message': 'Proper setup of GMD devices (no atd <30)', 'distinct': True, 'url': 'https://api.github.com/repos/JoseAlcerreca/android-architecture/commits/24d30cc9bc6158fbc14e3ed31786d2e1e2dff60c'}]}",,Kotlin
20920385692,PushEvent,JoseAlcerreca/android-architecture,0.0,2022-03-24T16:50:52Z,"{'push_id': 9439845048, 'size': 1, 'distinct_size': 1, 'ref': 'refs/heads/gmd1', 'head': '36fe9a8efe735d06f7e43dd818769bce1c43350e', 'before': '08da1c3ed28f285fb47321a70468e6f1cf92a129', 'commits': [{'sha': '36fe9a8efe735d06f7e43dd818769bce1c43350e', 'author': {'email': 'jalc@google.com', 'name': 'Jose Alcérreca'}, 'message': 'Reenable regular emulator tests', 'distinct': True, 'url': 'https://api.github.com/repos/JoseAlcerreca/android-architecture/commits/36fe9a8efe735d06f7e43dd818769bce1c43350e'}]}",,Kotlin
