event_id,event_type,event_repository,code_sample_event,event_created_at,event_payload,event_action,language
20720427834,CreateEvent,muellerc/aws-ec2-launch-measurement,0.0,2022-03-13T09:54:34Z,"{'ref': 'main', 'ref_type': 'branch', 'master_branch': 'main', 'description': None, 'pusher_type': 'user'}",,
20720427767,CreateEvent,muellerc/aws-ec2-launch-measurement,0.0,2022-03-13T09:54:33Z,"{'ref': None, 'ref_type': 'repository', 'master_branch': 'main', 'description': None, 'pusher_type': 'user'}",,
20604133438,IssueCommentEvent,aws-samples/modern-application-integration-patterns,1.0,2022-03-06T18:20:40Z,"{'action': 'created', 'issue': {'url': 'https://api.github.com/repos/aws-samples/modern-application-integration-patterns/issues/1', 'repository_url': 'https://api.github.com/repos/aws-samples/modern-application-integration-patterns', 'labels_url': 'https://api.github.com/repos/aws-samples/modern-application-integration-patterns/issues/1/labels{/name}', 'comments_url': 'https://api.github.com/repos/aws-samples/modern-application-integration-patterns/issues/1/comments', 'events_url': 'https://api.github.com/repos/aws-samples/modern-application-integration-patterns/issues/1/events', 'html_url': 'https://github.com/aws-samples/modern-application-integration-patterns/pull/1', 'id': 1120900379, 'node_id': 'PR_kwDOGVd2Oc4x6f0K', 'number': 1, 'title': 'Add WebSocket Asynchronous Run a Job module code', 'user': {'login': 'rossboast', 'id': 33289376, 'node_id': 'MDQ6VXNlcjMzMjg5Mzc2', 'avatar_url': 'https://avatars.githubusercontent.com/u/33289376?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/rossboast', 'html_url': 'https://github.com/rossboast', 'followers_url': 'https://api.github.com/users/rossboast/followers', 'following_url': 'https://api.github.com/users/rossboast/following{/other_user}', 'gists_url': 'https://api.github.com/users/rossboast/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/rossboast/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/rossboast/subscriptions', 'organizations_url': 'https://api.github.com/users/rossboast/orgs', 'repos_url': 'https://api.github.com/users/rossboast/repos', 'events_url': 'https://api.github.com/users/rossboast/events{/privacy}', 'received_events_url': 'https://api.github.com/users/rossboast/received_events', 'type': 'User', 'site_admin': False}, 'labels': [], 'state': 'open', 'locked': False, 'assignee': None, 'assignees': [], 'milestone': None, 'comments': 2, 'created_at': '2022-02-01T16:12:45Z', 'updated_at': '2022-03-06T18:20:39Z', 'closed_at': None, 'author_association': 'NONE', 'active_lock_reason': None, 'draft': False, 'pull_request': {'url': 'https://api.github.com/repos/aws-samples/modern-application-integration-patterns/pulls/1', 'html_url': 'https://github.com/aws-samples/modern-application-integration-patterns/pull/1', 'diff_url': 'https://github.com/aws-samples/modern-application-integration-patterns/pull/1.diff', 'patch_url': 'https://github.com/aws-samples/modern-application-integration-patterns/pull/1.patch', 'merged_at': None}, 'body': '*Description of changes:*\r\n\r\nAdd the sample code required for the Asynchronous Run a Job workshop module, including full solution and skeleton implementations. \r\n\r\nThe code provisions an example text summarization and speech synthesis workflow to demonstrate the ability to run a job within a Step Functions state machine, initiated by a REST API Gateway, and use a separate WebSocket API Gateway to send push notifications back to the client without requiring the client to poll for results.\r\n\r\nBy submitting this pull request, I confirm that you can use, modify, copy, and redistribute this contribution, under the terms of your choice.\r\n', 'reactions': {'url': 'https://api.github.com/repos/aws-samples/modern-application-integration-patterns/issues/1/reactions', 'total_count': 0, '+1': 0, '-1': 0, 'laugh': 0, 'hooray': 0, 'confused': 0, 'heart': 0, 'rocket': 0, 'eyes': 0}, 'timeline_url': 'https://api.github.com/repos/aws-samples/modern-application-integration-patterns/issues/1/timeline', 'performed_via_github_app': None}, 'comment': {'url': 'https://api.github.com/repos/aws-samples/modern-application-integration-patterns/issues/comments/1060013656', 'html_url': 'https://github.com/aws-samples/modern-application-integration-patterns/pull/1#issuecomment-1060013656', 'issue_url': 'https://api.github.com/repos/aws-samples/modern-application-integration-patterns/issues/1', 'id': 1060013656, 'node_id': 'IC_kwDOGVd2Oc4_LoZY', 'user': {'login': 'muellerc', 'id': 39061, 'node_id': 'MDQ6VXNlcjM5MDYx', 'avatar_url': 'https://avatars.githubusercontent.com/u/39061?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/muellerc', 'html_url': 'https://github.com/muellerc', 'followers_url': 'https://api.github.com/users/muellerc/followers', 'following_url': 'https://api.github.com/users/muellerc/following{/other_user}', 'gists_url': 'https://api.github.com/users/muellerc/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/muellerc/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/muellerc/subscriptions', 'organizations_url': 'https://api.github.com/users/muellerc/orgs', 'repos_url': 'https://api.github.com/users/muellerc/repos', 'events_url': 'https://api.github.com/users/muellerc/events{/privacy}', 'received_events_url': 'https://api.github.com/users/muellerc/received_events', 'type': 'User', 'site_admin': False}, 'created_at': '2022-03-06T18:20:39Z', 'updated_at': '2022-03-06T18:20:39Z', 'author_association': 'CONTRIBUTOR', 'body': 'A few more things:\r\n- https://github.com/rossboast/modern-application-integration-patterns/blob/add-websocket-async-run-job-module/text-summarization-and-speech-synthesis/api/solution-api.yaml#L49 -> Can we move this to the /workflows path like here: https://github.com/rossboast/modern-application-integration-patterns/blob/add-websocket-async-run-job-module/language-detection-and-translation/api/solution-api.yaml#L50\r\n- https://github.com/rossboast/modern-application-integration-patterns/blob/add-websocket-async-run-job-module/text-summarization-and-speech-synthesis/api/solution-api.yaml#L91 -> same as above\r\n- https://github.com/rossboast/modern-application-integration-patterns/blob/add-websocket-async-run-job-module/text-summarization-and-speech-synthesis/template.yaml#L42 -> Why?\r\n- https://github.com/rossboast/modern-application-integration-patterns/blob/add-websocket-async-run-job-module/text-summarization-and-speech-synthesis/statemachine/solution-sfn-template.asl.json#L14 -> could you please re-order all state content to the form: Type, Resource, Parameters, ResultSelector, OutputPath, ResultPath, Retry, Catch, Next\r\n- for the lambda functions using boto3, please provide a requirements.txt file\r\n- https://github.com/rossboast/modern-application-integration-patterns/blob/add-websocket-async-run-job-module/text-summarization-and-speech-synthesis/functions/on_connect/app.py#L15 -> mixing styles event.get(""body"") and event[""requestContext""]. We should only use one (I prefer the later one).\r\n- https://github.com/rossboast/modern-application-integration-patterns/blob/add-websocket-async-run-job-module/text-summarization-and-speech-synthesis/functions/on_connect/app.py#L22 -> Why?', 'reactions': {'url': 'https://api.github.com/repos/aws-samples/modern-application-integration-patterns/issues/comments/1060013656/reactions', 'total_count': 0, '+1': 0, '-1': 0, 'laugh': 0, 'hooray': 0, 'confused': 0, 'heart': 0, 'rocket': 0, 'eyes': 0}, 'performed_via_github_app': None}}",created,Python
20603286247,IssueCommentEvent,aws-samples/modern-application-integration-patterns,1.0,2022-03-06T15:53:45Z,"{'action': 'created', 'issue': {'url': 'https://api.github.com/repos/aws-samples/modern-application-integration-patterns/issues/1', 'repository_url': 'https://api.github.com/repos/aws-samples/modern-application-integration-patterns', 'labels_url': 'https://api.github.com/repos/aws-samples/modern-application-integration-patterns/issues/1/labels{/name}', 'comments_url': 'https://api.github.com/repos/aws-samples/modern-application-integration-patterns/issues/1/comments', 'events_url': 'https://api.github.com/repos/aws-samples/modern-application-integration-patterns/issues/1/events', 'html_url': 'https://github.com/aws-samples/modern-application-integration-patterns/pull/1', 'id': 1120900379, 'node_id': 'PR_kwDOGVd2Oc4x6f0K', 'number': 1, 'title': 'Add WebSocket Asynchronous Run a Job module code', 'user': {'login': 'rossboast', 'id': 33289376, 'node_id': 'MDQ6VXNlcjMzMjg5Mzc2', 'avatar_url': 'https://avatars.githubusercontent.com/u/33289376?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/rossboast', 'html_url': 'https://github.com/rossboast', 'followers_url': 'https://api.github.com/users/rossboast/followers', 'following_url': 'https://api.github.com/users/rossboast/following{/other_user}', 'gists_url': 'https://api.github.com/users/rossboast/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/rossboast/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/rossboast/subscriptions', 'organizations_url': 'https://api.github.com/users/rossboast/orgs', 'repos_url': 'https://api.github.com/users/rossboast/repos', 'events_url': 'https://api.github.com/users/rossboast/events{/privacy}', 'received_events_url': 'https://api.github.com/users/rossboast/received_events', 'type': 'User', 'site_admin': False}, 'labels': [], 'state': 'open', 'locked': False, 'assignee': None, 'assignees': [], 'milestone': None, 'comments': 0, 'created_at': '2022-02-01T16:12:45Z', 'updated_at': '2022-03-06T15:53:45Z', 'closed_at': None, 'author_association': 'NONE', 'active_lock_reason': None, 'draft': False, 'pull_request': {'url': 'https://api.github.com/repos/aws-samples/modern-application-integration-patterns/pulls/1', 'html_url': 'https://github.com/aws-samples/modern-application-integration-patterns/pull/1', 'diff_url': 'https://github.com/aws-samples/modern-application-integration-patterns/pull/1.diff', 'patch_url': 'https://github.com/aws-samples/modern-application-integration-patterns/pull/1.patch', 'merged_at': None}, 'body': '*Description of changes:*\r\n\r\nAdd the sample code required for the Asynchronous Run a Job workshop module, including full solution and skeleton implementations. \r\n\r\nThe code provisions an example text summarization and speech synthesis workflow to demonstrate the ability to run a job within a Step Functions state machine, initiated by a REST API Gateway, and use a separate WebSocket API Gateway to send push notifications back to the client without requiring the client to poll for results.\r\n\r\nBy submitting this pull request, I confirm that you can use, modify, copy, and redistribute this contribution, under the terms of your choice.\r\n', 'reactions': {'url': 'https://api.github.com/repos/aws-samples/modern-application-integration-patterns/issues/1/reactions', 'total_count': 0, '+1': 0, '-1': 0, 'laugh': 0, 'hooray': 0, 'confused': 0, 'heart': 0, 'rocket': 0, 'eyes': 0}, 'timeline_url': 'https://api.github.com/repos/aws-samples/modern-application-integration-patterns/issues/1/timeline', 'performed_via_github_app': None}, 'comment': {'url': 'https://api.github.com/repos/aws-samples/modern-application-integration-patterns/issues/comments/1059987701', 'html_url': 'https://github.com/aws-samples/modern-application-integration-patterns/pull/1#issuecomment-1059987701', 'issue_url': 'https://api.github.com/repos/aws-samples/modern-application-integration-patterns/issues/1', 'id': 1059987701, 'node_id': 'IC_kwDOGVd2Oc4_LiD1', 'user': {'login': 'muellerc', 'id': 39061, 'node_id': 'MDQ6VXNlcjM5MDYx', 'avatar_url': 'https://avatars.githubusercontent.com/u/39061?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/muellerc', 'html_url': 'https://github.com/muellerc', 'followers_url': 'https://api.github.com/users/muellerc/followers', 'following_url': 'https://api.github.com/users/muellerc/following{/other_user}', 'gists_url': 'https://api.github.com/users/muellerc/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/muellerc/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/muellerc/subscriptions', 'organizations_url': 'https://api.github.com/users/muellerc/orgs', 'repos_url': 'https://api.github.com/users/muellerc/repos', 'events_url': 'https://api.github.com/users/muellerc/events{/privacy}', 'received_events_url': 'https://api.github.com/users/muellerc/received_events', 'type': 'User', 'site_admin': False}, 'created_at': '2022-03-06T15:53:45Z', 'updated_at': '2022-03-06T15:53:45Z', 'author_association': 'CONTRIBUTOR', 'body': 'Hi Ross, I\'m not able to provision this stack in eu-central-1. I get the error ""One or more endpoint features are not supported using this configuration"".\r\n\r\nPlease take a look at the following things as well:\r\n- https://github.com/rossboast/modern-application-integration-patterns/blob/add-websocket-async-run-job-module/text-summarization-and-speech-synthesis/template.yaml#L11 -> the RegionMap doesn\'t contain all regions we support in the workshop. Instead of using a region map, can we simply substitute the region here: https://github.com/rossboast/modern-application-integration-patterns/blob/add-websocket-async-run-job-module/text-summarization-and-speech-synthesis/template.yaml#L737\r\n- https://github.com/rossboast/modern-application-integration-patterns/blob/add-websocket-async-run-job-module/text-summarization-and-speech-synthesis/template.yaml#L742 -> This template is fixed to eu-west-1', 'reactions': {'url': 'https://api.github.com/repos/aws-samples/modern-application-integration-patterns/issues/comments/1059987701/reactions', 'total_count': 0, '+1': 0, '-1': 0, 'laugh': 0, 'hooray': 0, 'confused': 0, 'heart': 0, 'rocket': 0, 'eyes': 0}, 'performed_via_github_app': None}}",created,Python
20598451287,PushEvent,aws-samples/serverless-mutual-tls,1.0,2022-03-05T22:07:25Z,"{'push_id': 9274347835, 'size': 1, 'distinct_size': 1, 'ref': 'refs/heads/main', 'head': 'cd78735b4490df6361481bc20ea842c548e86419', 'before': 'cbfa84359d3d63e335240c6c2f8977a2f475d0c3', 'commits': [{'sha': 'cd78735b4490df6361481bc20ea842c548e86419', 'author': {'email': 'cmr@amazon.de', 'name': 'Christian Mueller'}, 'message': 'switched to mvnw to provide a more self-conatined experience', 'distinct': True, 'url': 'https://api.github.com/repos/aws-samples/serverless-mutual-tls/commits/cd78735b4490df6361481bc20ea842c548e86419'}]}",,Java
20598398692,PushEvent,aws-samples/serverless-mutual-tls,1.0,2022-03-05T21:55:15Z,"{'push_id': 9274311431, 'size': 2, 'distinct_size': 2, 'ref': 'refs/heads/main', 'head': 'f367b8b956041477ee184ac68f45306f80bd121a', 'before': '6975aabfbb8fec1e71dc1fe755e52957dde6d167', 'commits': [{'sha': 'ae34655e6271482b77fc7b070d8c679b780a48b8', 'author': {'email': 'cmr@amazon.de', 'name': 'Christian Mueller'}, 'message': 'fixed the failing build, using mvn instead of mvnw now', 'distinct': True, 'url': 'https://api.github.com/repos/aws-samples/serverless-mutual-tls/commits/ae34655e6271482b77fc7b070d8c679b780a48b8'}, {'sha': 'f367b8b956041477ee184ac68f45306f80bd121a', 'author': {'email': 'cmr@amazon.de', 'name': 'Christian Mueller'}, 'message': 'fixed the failing build, using mvn instead of mvnw now', 'distinct': True, 'url': 'https://api.github.com/repos/aws-samples/serverless-mutual-tls/commits/f367b8b956041477ee184ac68f45306f80bd121a'}]}",,Java
20098541368,PushEvent,muellerc/canary-deployments,0.0,2022-02-06T22:08:43Z,"{'push_id': 9025179337, 'size': 1, 'distinct_size': 1, 'ref': 'refs/heads/master', 'head': 'fd2f37b3ef77ac5ddd8c4293edb4c4e36964ea9d', 'before': '9dbd2be1f3539ce4a60aebeed903b548912d67e9', 'commits': [{'sha': 'fd2f37b3ef77ac5ddd8c4293edb4c4e36964ea9d', 'author': {'email': 'cmr@amazon.de', 'name': 'Christian Mueller'}, 'message': 'first commit', 'distinct': True, 'url': 'https://api.github.com/repos/muellerc/canary-deployments/commits/fd2f37b3ef77ac5ddd8c4293edb4c4e36964ea9d'}]}",,
20098446431,CreateEvent,muellerc/canary-deployments,0.0,2022-02-06T21:50:33Z,"{'ref': 'master', 'ref_type': 'branch', 'master_branch': 'master', 'description': None, 'pusher_type': 'user'}",,
20098441162,CreateEvent,muellerc/canary-deployments,0.0,2022-02-06T21:49:33Z,"{'ref': None, 'ref_type': 'repository', 'master_branch': 'main', 'description': None, 'pusher_type': 'user'}",,
20061745240,PushEvent,muellerc/lambda-custom-runtime-minimal-jre-18,0.0,2022-02-03T17:04:00Z,"{'push_id': 9004857711, 'size': 1, 'distinct_size': 1, 'ref': 'refs/heads/master', 'head': '1d6dbd9fc6e0e73a59afd9a00b897fe93bdd4225', 'before': '620be9bffd0e667fdbbca0787a0a32bcc97d62eb', 'commits': [{'sha': '1d6dbd9fc6e0e73a59afd9a00b897fe93bdd4225', 'author': {'email': 'cmr@amazon.de', 'name': 'Christian Mueller'}, 'message': 'first commit', 'distinct': True, 'url': 'https://api.github.com/repos/muellerc/lambda-custom-runtime-minimal-jre-18/commits/1d6dbd9fc6e0e73a59afd9a00b897fe93bdd4225'}]}",,Java
