event_id,event_type,event_repository,code_sample_event,event_created_at,event_payload,event_action,language
20907573795,PushEvent,warrenzhu25/spark,0.0,2022-03-24T05:08:00Z,"{'push_id': 9433517948, 'size': 560, 'distinct_size': 350, 'ref': 'refs/heads/master', 'head': '057c051285ec32c665fb458d0670c1c16ba536b2', 'before': 'f7dd37c40fa1ef5ed813b044080c07a19589e3d1', 'commits': [{'sha': '1431a4aa74cf69b3ee607e313dece6fed8390de6', 'author': {'email': 'viirya@gmail.com', 'name': 'Liang-Chi Hsieh'}, 'message': ""[SPARK-37887][CORE] Fix the check of repl log level\n\n### What changes were proposed in this pull request?\n\nThis patch fixes the check of repl's log level. So we can correctly know if the repl class is set with log level or not.\n\n### Why are the changes needed?\n\nSame as the check in `SparkShellLoggingFilter`, `getLevel` cannot be used anymore to check if the log level is set or not for a logger in log4j2.\n\n### Does this PR introduce _any_ user-facing change?\n\nNo\n\n### How was this patch tested?\n\nManual verified locally.\n\nCloses #35198 from viirya/SPARK-37887.\n\nAuthored-by: Liang-Chi Hsieh <viirya@gmail.com>\nSigned-off-by: Dongjoon Hyun <dongjoon@apache.org>"", 'distinct': False, 'url': 'https://api.github.com/repos/warrenzhu25/spark/commits/1431a4aa74cf69b3ee607e313dece6fed8390de6'}, {'sha': 'b092321077400e4344f8ea11592600f5e759041b', 'author': {'email': 'gurwls223@apache.org', 'name': 'Hyukjin Kwon'}, 'message': ""[SPARK-37879][INFRA] Show test report in GitHub Actions builds from PRs\n\n### What changes were proposed in this pull request?\n\nThis PR is a retry of https://github.com/apache/spark/pull/35179. This PR does the same thing - replacing Actions view to Check run view for `See test results` link.\n\nThe main difference with the PR https://github.com/apache/spark/pull/35179 is that we now keep the Actions run id as is as metadata so this Actions run id can be used to update the status of tests in PRs at Apache Spark:\n\nhttps://github.com/apache/spark/blob/85efc85f9aa93b3fac9e591c96efa38d4414adf8/.github/workflows/update_build_status.yml#L63-L74\n\nNow this PR shouldn't affect [update_build_status.yml](https://github.com/apache/spark/blob/master/.github/workflows/update_build_status.yml) which was the main reason of a followup and revert.\n\n### Why are the changes needed?\n\nFor developers to see the test report, and they can easily detect which test is failed.\n\n### Does this PR introduce _any_ user-facing change?\n\nNo, dev-only\n\n### How was this patch tested?\n\nTested in https://github.com/HyukjinKwon/spark/pull/51.\n\nCloses #35193 from HyukjinKwon/SPARK-37879-retry.\n\nAuthored-by: Hyukjin Kwon <gurwls223@apache.org>\nSigned-off-by: Hyukjin Kwon <gurwls223@apache.org>"", 'distinct': False, 'url': 'https://api.github.com/repos/warrenzhu25/spark/commits/b092321077400e4344f8ea11592600f5e759041b'}, {'sha': 'db9807443dabaee8237a4748c99572c010ddb0c9', 'author': {'email': 'mszymkiewicz@gmail.com', 'name': 'zero323'}, 'message': ""[MINOR][PYTHON] Replace Iterable import from collections with collections.abc\n\n### What changes were proposed in this pull request?\n\nReplace\n\n```python\nfrom collections import Iterable\n```\n\nwith\n\n```python\nfrom collections.abc import Iterable\n```\n\n### Why are the changes needed?\n\n> Using or importing the ABCs from 'collections' instead of from 'collections.abc' is deprecated since Python 3.3, and in 3.10 it will stop working.\n\nIn other places, like `pyspark.pandas.indexing`\n\nhttps://github.com/apache/spark/blob/99805558fc80743747f32c7008cb7cc99c1cda01/python/pyspark/pandas/indexing.py#L22\n\nwe already import from `collections.abc`, but this one somehow passed under the radar.\n\n### Does this PR introduce _any_ user-facing change?\n\nNo.\n\n### How was this patch tested?\n\nExisting unit tests.\n\nCloses #35197 from zero323/TYPING-ABC-ITERABLE.\n\nAuthored-by: zero323 <mszymkiewicz@gmail.com>\nSigned-off-by: Hyukjin Kwon <gurwls223@apache.org>"", 'distinct': False, 'url': 'https://api.github.com/repos/warrenzhu25/spark/commits/db9807443dabaee8237a4748c99572c010ddb0c9'}, {'sha': '31d8489f3993f608ed2c8d39727b345ac71170b8', 'author': {'email': 'ueshin@databricks.com', 'name': 'Takuya UESHIN'}, 'message': '[SPARK-37903][PYTHON] Replace string_typehints with get_type_hints\n\n### What changes were proposed in this pull request?\n\nReplaces `string_typehints` with `get_type_hints`.\n\n### Why are the changes needed?\n\nCurrently we have a hacky way to resolve type hints written as strings, but we can use `get_type_hints` instead.\n\n### Does this PR introduce _any_ user-facing change?\n\nNo.\n\n### How was this patch tested?\n\nExisting tests.\n\nCloses #35200 from ueshin/issues/SPARK-37903/string_typehints.\n\nAuthored-by: Takuya UESHIN <ueshin@databricks.com>\nSigned-off-by: Hyukjin Kwon <gurwls223@apache.org>', 'distinct': False, 'url': 'https://api.github.com/repos/warrenzhu25/spark/commits/31d8489f3993f608ed2c8d39727b345ac71170b8'}, {'sha': '2ed827a8169a0ad098c5ee4f6101bd003f8c6de2', 'author': {'email': 'huaxin_gao@apple.com', 'name': 'Huaxin Gao'}, 'message': '[SPARK-37627][SQL][FOLLOWUP] Separate SortedBucketTransform from BucketTransform\n\n### What changes were proposed in this pull request?\n\n1. Currently only a single bucket column is supported in `BucketTransform`, fix the code to make multiple bucket columns work.\n2. Separate `SortedBucketTransform` from `BucketTransform`, and make the `arguments` in `SortedBucketTransform` in the format of `columns numBuckets sortedColumns` so we have a way to find out the `columns` and `sortedColumns`.\n3. add more test coverage.\n\n### Why are the changes needed?\n\nFix bugs in `BucketTransform` and `SortedBucketTransform`.\n\n### Does this PR introduce _any_ user-facing change?\nNo\n\n### How was this patch tested?\nNew tests\n\nCloses #34914 from huaxingao/sorted_followup.\n\nLead-authored-by: Huaxin Gao <huaxin_gao@apple.com>\nCo-authored-by: huaxingao <huaxin.gao11@gmail.com>\nSigned-off-by: Wenchen Fan <wenchen@databricks.com>', 'distinct': False, 'url': 'https://api.github.com/repos/warrenzhu25/spark/commits/2ed827a8169a0ad098c5ee4f6101bd003f8c6de2'}, {'sha': 'a1e86373253d77329b2b252c653a69ae8ac0bd6c', 'author': {'email': 'karen.feng@databricks.com', 'name': 'Karen Feng'}, 'message': ""[SPARK-37859][SQL] Do not check for metadata during schema comparison\n\n### What changes were proposed in this pull request?\n\nIgnores the metadata when comparing the user-provided schema and the actual schema during BaseRelation resolution.\n\n### Why are the changes needed?\n\nMakes it possible to read tables with Spark 3.2 that were written with Spark 3.1, as https://github.com/apache/spark/blob/bd24b4884b804fc85a083f82b864823851d5980c/sql/core/src/main/scala/org/apache/spark/sql/execution/datasources/jdbc/JdbcUtils.scala#L312 added a new metadata field that broke compatibility.\n\n### Does this PR introduce _any_ user-facing change?\n\nYes. Previously, an error was thrown when a SQL table written with JDBC in Spark 3.1 was read in Spark 3.2. Now, no error is thrown.\n\n### How was this patch tested?\n\nUnit test and manual test with a SQL table written with Spark 3.1.\n\nQuery:\n\n```\nselect * from jdbc_table\n```\n\nBefore:\n\n```\norg.apache.spark.sql.AnalysisException: The user-specified schema doesn't match the actual schema:\n```\n\nAfter: no error\n\nCloses #35158 from karenfeng/SPARK-37859.\n\nAuthored-by: Karen Feng <karen.feng@databricks.com>\nSigned-off-by: Wenchen Fan <wenchen@databricks.com>"", 'distinct': False, 'url': 'https://api.github.com/repos/warrenzhu25/spark/commits/a1e86373253d77329b2b252c653a69ae8ac0bd6c'}, {'sha': '1ef56e969f42726c630572f4e781cbeb3b57b888', 'author': {'email': 'dongjoon@apache.org', 'name': 'Dongjoon Hyun'}, 'message': '[SPARK-37893][CORE][TESTS] Avoid ConcurrentModificationException related to SparkFunSuite.LogAppender#_threshold""\n\n### What changes were proposed in this pull request?\nWhen `mvn clean install -pl sql/core -am -Pscala-2.13` is executed, `AdaptiveQueryExecSuite` failed with a very small probability, the error stack as follows:\n\n```\n- Logging plan changes for AQE *** FAILED ***\n  java.util.ConcurrentModificationException: mutation occurred during iteration\n  at scala.collection.mutable.MutationTracker$.checkMutations(MutationTracker.scala:43)\n  at scala.collection.mutable.CheckedIndexedSeqView$CheckedIterator.hasNext(CheckedIndexedSeqView.scala:47)\n  at scala.collection.StrictOptimizedIterableOps.filterImpl(StrictOptimizedIterableOps.scala:225)\n  at scala.collection.StrictOptimizedIterableOps.filterImpl$(StrictOptimizedIterableOps.scala:222)\n  at scala.collection.mutable.ArrayBuffer.filterImpl(ArrayBuffer.scala:43)\n  at scala.collection.StrictOptimizedIterableOps.filterNot(StrictOptimizedIterableOps.scala:220)\n  at scala.collection.StrictOptimizedIterableOps.filterNot$(StrictOptimizedIterableOps.scala:220)\n  at scala.collection.mutable.ArrayBuffer.filterNot(ArrayBuffer.scala:43)\n  at org.apache.spark.SparkFunSuite$LogAppender.loggingEvents(SparkFunSuite.scala:288)\n  at org.apache.spark.sql.execution.adaptive.AdaptiveQueryExecSuite.$anonfun$new$152(AdaptiveQueryExecSuite.scala:1487)\n```\n\nSo this pr adds synchronous access control for `SparkFunSuite$LogAppender.loggingEvents` to avoid the above exceptions\n\n### Why are the changes needed?\nBug fix\n\n### Does this PR introduce _any_ user-facing change?\nNo\n\n### How was this patch tested?\nPass GA\n\nCloses #35190 from LuciferYang/SPARK-37893.\n\nLead-authored-by: Dongjoon Hyun <dongjoon@apache.org>\nCo-authored-by: yangjie01 <yangjie01@baidu.com>\nSigned-off-by: Dongjoon Hyun <dongjoon@apache.org>', 'distinct': False, 'url': 'https://api.github.com/repos/warrenzhu25/spark/commits/1ef56e969f42726c630572f4e781cbeb3b57b888'}, {'sha': '489391a56dc16459dde27bf29168381ac90e5a34', 'author': {'email': 'yangjie01@baidu.com', 'name': 'yangjie01'}, 'message': '[SPARK-37880][BUILD] Upgrade Scala to 2.13.8\n\n### What changes were proposed in this pull request?\nThis pr aims to update from Scala 2.13.7 to Scala 2.13.8 for Apache Spark 3.3.\n\n### Why are the changes needed?\nScala 2.13.8 is a maintenance release for 2.13 line and the release notes as follows:\n- https://github.com/scala/scala/releases/tag/v2.13.8\n\n### Does this PR introduce _any_ user-facing change?\nNo\n\n### How was this patch tested?\n\n- Pass the GitHub Action Scala 2.13 job\n\n- Manual test (Will add)\n\nCloses #35181 from LuciferYang/SPARK-37880.\n\nAuthored-by: yangjie01 <yangjie01@baidu.com>\nSigned-off-by: Dongjoon Hyun <dongjoon@apache.org>', 'distinct': False, 'url': 'https://api.github.com/repos/warrenzhu25/spark/commits/489391a56dc16459dde27bf29168381ac90e5a34'}, {'sha': 'ef837ca71020950b841f9891c70dc4b29d968bf1', 'author': {'email': 'dongjoon@apache.org', 'name': 'Dongjoon Hyun'}, 'message': '[SPARK-37905][INFRA] Make `merge_spark_pr.py` set primary author from the first commit in case of ties\n\n### What changes were proposed in this pull request?\n\nThis PR aim to make `merge_spark_pr.py` set the primary author from the first commit in case of ties.\n\n### Why are the changes needed?\n\nCurrently, `merge_spark_pr.py` chooses the primary author randomly when there are two commits from two authors.\n\nhttps://github.com/apache/spark/pull/35190\n\nThe best case could choose the primary author based on the number of lines, but it seems to hard. So, this PR aims to become better than before.\n\n### Does this PR introduce _any_ user-facing change?\n\nNo. This is a dev only.\n\n### How was this patch tested?\n\nManually.\n\nCloses #35205 from dongjoon-hyun/SPARK-37905.\n\nAuthored-by: Dongjoon Hyun <dongjoon@apache.org>\nSigned-off-by: Dongjoon Hyun <dongjoon@apache.org>', 'distinct': False, 'url': 'https://api.github.com/repos/warrenzhu25/spark/commits/ef837ca71020950b841f9891c70dc4b29d968bf1'}, {'sha': 'fcc51767aa4a594868eff33a7ddd8c5242006cd8', 'author': {'email': 'wankun@apache.org', 'name': 'Kun Wan'}, 'message': '[SPARK-36967][CORE] Report accurate shuffle block size if its skewed\n\n### What changes were proposed in this pull request?\n\nA shuffle block is considered as skewed and will be accurately recorded in HighlyCompressedMapStatus if its size if larger than this factor multiplying  the median shuffle block size.\n\nBefore this change\n\n![map_status_before](https://user-images.githubusercontent.com/3626747/137251903-08a3544c-dc77-4b78-8ae5-93b42a54bd03.png)\n\nAfter this change\n\n![map_status_after](https://user-images.githubusercontent.com/3626747/137251871-355db24d-d66b-4702-8766-216db30a39e0.jpg)\n\n### Why are the changes needed?\n\nNow map task will report accurate shuffle block size if the block size is greater than ""spark.shuffle.accurateBlockThreshold""( 100M by default ). But if there are a large number of map tasks and the shuffle block sizes of these tasks are smaller than ""spark.shuffle.accurateBlockThreshold"", there may be unrecognized data skew.\n\nFor example, there are 10000 map task and 10000 reduce task, and each map task create 50M shuffle blocks for reduce 0, and 10K shuffle blocks for the left reduce tasks, reduce 0 is data skew, but the stat of this plan do not have this information.\n\n### Does this PR introduce _any_ user-facing change?\nNo\n\n### How was this patch tested?\n\nUpdate exists UTs\n\nCloses #34234 from wankunde/map_status.\n\nAuthored-by: Kun Wan <wankun@apache.org>\nSigned-off-by: attilapiros <piros.attila.zsolt@gmail.com>', 'distinct': False, 'url': 'https://api.github.com/repos/warrenzhu25/spark/commits/fcc51767aa4a594868eff33a7ddd8c5242006cd8'}, {'sha': '6f908de99b8f486996d77f0dfab6ba0577ea93ba', 'author': {'email': 'yikunkero@gmail.com', 'name': 'Yikun Jiang'}, 'message': ""[SPARK-37372][K8S] Removing redundant label addition\n\n### What changes were proposed in this pull request?\nRemove redundant Pod label addtions in driver and executor.\n\n### Why are the changes needed?\nThese labels are already included by conf.labels as preset labels, we don't need do a extra addition.\n\n### Does this PR introduce _any_ user-facing change?\nNO\n\n### How was this patch tested?\nUT passed:\nEspecially:\nhttps://github.com/apache/spark/blob/a3886ba976469bef0dfafc3da8686a53c5a59d95/resource-managers/kubernetes/core/src/test/scala/org/apache/spark/deploy/k8s/KubernetesConfSuite.scala#L157-L164\n\nCloses #34646 from Yikun/SPARK-labels-improve.\n\nAuthored-by: Yikun Jiang <yikunkero@gmail.com>\nSigned-off-by: Dongjoon Hyun <dongjoon@apache.org>"", 'distinct': False, 'url': 'https://api.github.com/repos/warrenzhu25/spark/commits/6f908de99b8f486996d77f0dfab6ba0577ea93ba'}, {'sha': 'b12fc70ef9e9b661e1fc029ba5e66635afe0dd99', 'author': {'email': 'mszymkiewicz@gmail.com', 'name': 'zero323'}, 'message': '[SPARK-37429][PYTHON][MLLIB] Inline annotations for pyspark.mllib.linalg.__init__.py\n\n### What changes were proposed in this pull request?\n\nInline annotations for `pyspark.mllib.linalg.__init__.py`\n\n### Why are the changes needed?\n\nCurrently, there is type hint stub files  `pyspark.mllib.linalg.__init__.pyi` to show the expected types for functions, but we can also take advantage of static type checking within the functions by inlining the type hints.\n\n### Does this PR introduce _any_ user-facing change?\n\nNo.\n\n### How was this patch tested?\n\nExisting tests.\n\nCloses #35020 from zero323/SPARK-37429.\n\nAuthored-by: zero323 <mszymkiewicz@gmail.com>\nSigned-off-by: zero323 <mszymkiewicz@gmail.com>', 'distinct': False, 'url': 'https://api.github.com/repos/warrenzhu25/spark/commits/b12fc70ef9e9b661e1fc029ba5e66635afe0dd99'}, {'sha': '034850866c957604f908b5a9952b2a1f18a03a96', 'author': {'email': 'mszymkiewicz@gmail.com', 'name': 'zero323'}, 'message': '[SPARK-37902][PYTHON] Resolve typing issues detected by mypy==0.931\n\n### What changes were proposed in this pull request?\n\nThis PR resolves the following typing issue detected by `mypy==0.931`:\n\n```\npython/pyspark/pandas/base.py:879: error: ""Sequence[Any]"" has no attribute ""tolist""  [attr-defined]\npython/pyspark/sql/tests/test_pandas_udf_typehints_with_future_annotations.py:268: error: Incompatible return value type (got ""floating[Any]"", expected ""float"")  [return-value]\npython/pyspark/sql/tests/test_pandas_udf_typehints.py:265: error: Incompatible return value type (got ""floating[Any]"", expected ""float"")  [return-value]\n```\n\n### Why are the changes needed?\n\nTo enable smooth migration to newer mypy versions.\n\n### Does this PR introduce _any_ user-facing change?\n\nNo.\n\n### How was this patch tested?\n\nExisting unit tests and `dev/lint-python`.\n\nCloses #35199 from zero323/SPARK-37902.\n\nAuthored-by: zero323 <mszymkiewicz@gmail.com>\nSigned-off-by: zero323 <mszymkiewicz@gmail.com>', 'distinct': False, 'url': 'https://api.github.com/repos/warrenzhu25/spark/commits/034850866c957604f908b5a9952b2a1f18a03a96'}, {'sha': '747dcd6fa2dd0dc0d4eef18aad4871bbbf54a50a', 'author': {'email': 'mszymkiewicz@gmail.com', 'name': 'zero323'}, 'message': '[SPARK-37909] Replace global F403 exclude with file-specific rules\n\n### What changes were proposed in this pull request?\n\nThis PR rolls back global exclude on F403 introduced in SPARK-37909.\n\nInstead, we can use file-specific on major offenders (test files).\n\n### Why are the changes needed?\n\nBased on [CI behavior](https://github.com/apache/spark/pull/35199#discussion_r784526473) and local test runs, it seems like it takes precedence over F401 and silences unused import errors.\n\n### Does this PR introduce _any_ user-facing change?\n\nNo.\n\n### How was this patch tested?\n\nExisting tests.\n\nCloses #35210 from zero323/SPARK-37909.\n\nAuthored-by: zero323 <mszymkiewicz@gmail.com>\nSigned-off-by: Hyukjin Kwon <gurwls223@apache.org>', 'distinct': False, 'url': 'https://api.github.com/repos/warrenzhu25/spark/commits/747dcd6fa2dd0dc0d4eef18aad4871bbbf54a50a'}, {'sha': '29498656656779c5689e73dee11e73ac7190b205', 'author': {'email': 'yikunkero@gmail.com', 'name': 'Yikun Jiang'}, 'message': '[SPARK-37886][PYTHON][TESTS] Use ComparisonTestBase in pandas test\n\n### What changes were proposed in this pull request?\nUse `ComparisonTestBase` as base class instead of `PandasOnSparkTestCase` with self.psdf in pandas test\n\nhttps://github.com/apache/spark/blob/a70006d9a7b578721d152d0f89d1a894de38c25d/python/pyspark/testing/pandasutils.py#L265-L272\n\n### Why are the changes needed?\nWe have many testcase are using same logic to covert `pdf` to `psdf`, we can use ComparisonTestBase as base class to reduce redundant.\n\n### Does this PR introduce _any_ user-facing change?\nNO, test only\n\n### How was this patch tested?\nUT passed.\n\nCloses #35183 from Yikun/SPARK-37886.\n\nAuthored-by: Yikun Jiang <yikunkero@gmail.com>\nSigned-off-by: Hyukjin Kwon <gurwls223@apache.org>', 'distinct': False, 'url': 'https://api.github.com/repos/warrenzhu25/spark/commits/29498656656779c5689e73dee11e73ac7190b205'}, {'sha': 'c7c51bcab5cb067d36bccf789e0e4ad7f37ffb7c', 'author': {'email': 'yangjie01@baidu.com', 'name': 'yangjie01'}, 'message': '[SPARK-37854][CORE] Replace type check with pattern matching in Spark code\n\n### What changes were proposed in this pull request?\n\nThere are many method use `isInstanceOf  + asInstanceOf` for type conversion in Spark code now, the main change of this pr is replace `type check` with `pattern matching` for code simplification.\n\n### Why are the changes needed?\nCode simplification\n\n### Does this PR introduce _any_ user-facing change?\nNo\n\n### How was this patch tested?\nPass GA\n\nCloses #35154 from LuciferYang/SPARK-37854.\n\nAuthored-by: yangjie01 <yangjie01@baidu.com>\nSigned-off-by: Sean Owen <srowen@gmail.com>', 'distinct': False, 'url': 'https://api.github.com/repos/warrenzhu25/spark/commits/c7c51bcab5cb067d36bccf789e0e4ad7f37ffb7c'}, {'sha': '8ae970790814a0080713857261a3b1c2e2b01dd7', 'author': {'email': 'ulyssesyou18@gmail.com', 'name': 'ulysses-you'}, 'message': '[SPARK-37862][SQL] RecordBinaryComparator should fast skip the check of aligning with unaligned platform\n\n### What changes were proposed in this pull request?\n\n`RecordBinaryComparator` compare the entire row, so it need to check if the platform is unaligned. #35078 had given the perf number to show the benefits. So this PR aims to do the same thing that fast skip the check of aligning with unaligned platform.\n\n### Why are the changes needed?\n\nImprove the performance.\n\n### Does this PR introduce _any_ user-facing change?\n\nno\n\n### How was this patch tested?\n\nPass CI. And the perf number should be same with #35078\n\nCloses #35161 from ulysses-you/unaligned.\n\nAuthored-by: ulysses-you <ulyssesyou18@gmail.com>\nSigned-off-by: Sean Owen <srowen@gmail.com>', 'distinct': False, 'url': 'https://api.github.com/repos/warrenzhu25/spark/commits/8ae970790814a0080713857261a3b1c2e2b01dd7'}, {'sha': '7614472950cb57ffefa0a51dd1163103c5d42df6', 'author': {'email': 'yangjie01@baidu.com', 'name': 'yangjie01'}, 'message': '[SPARK-37876][CORE][SQL] Move `SpecificParquetRecordReaderBase.listDirectory` to `TestUtils`\n\n### What changes were proposed in this pull request?\n`SpecificParquetRecordReaderBase.listDirectory`  is used to return the list of files at `path` recursively and the result will skips files that are ignored normally by MapReduce.\n\nThis method is only used by tests in Spark now and the tests also includes non-parquet test scenario, such as `OrcColumnarBatchReaderSuite`.\n\nSo this pr move this method from `SpecificParquetRecordReaderBase` to `TestUtils` to make it as a test method.\n\n### Why are the changes needed?\nRefactoring: move test method to `TestUtils`.\n\n### Does this PR introduce _any_ user-facing change?\nNo\n\n### How was this patch tested?\nPass GA\n\nCloses #35177 from LuciferYang/list-directory.\n\nAuthored-by: yangjie01 <yangjie01@baidu.com>\nSigned-off-by: Sean Owen <srowen@gmail.com>', 'distinct': False, 'url': 'https://api.github.com/repos/warrenzhu25/spark/commits/7614472950cb57ffefa0a51dd1163103c5d42df6'}, {'sha': '482439ff4620be9d30b36aa32a26722be9f4a30e', 'author': {'email': 'qcsd2011@163.com', 'name': 'stczwd'}, 'message': ""[SPARK-37920][BUILD] Remove tab character and trailing space in pom.xml\n\n### Why are the changes needed?\nThere are some tabs in pom.xml, which don't seem to be standardized. This pr tries to modify this problem.\n\n### Does this PR introduce _any_ user-facing change?\nNo\n\n### How was this patch tested?\norigin tests\n\nCloses #35218 from stczwd/SPARK-37920.\n\nAuthored-by: stczwd <qcsd2011@163.com>\nSigned-off-by: Dongjoon Hyun <dongjoon@apache.org>"", 'distinct': False, 'url': 'https://api.github.com/repos/warrenzhu25/spark/commits/482439ff4620be9d30b36aa32a26722be9f4a30e'}, {'sha': '4c59a830a6a235400d0184fb6ce24c9e054d3e4b', 'author': {'email': 'william@apache.org', 'name': 'William Hyun'}, 'message': ""[SPARK-37921][TESTS] Update OrcReadBenchmark to use Hive ORC reader as the basis\n\n### What changes were proposed in this pull request?\nThis PR aims to update `OrcReadBenchmark` to use Hive ORC reader as the basis for comparison.\n\n### Why are the changes needed?\nThis will improve the visibility of native ORC reader's improvement because currently the new improvements are shown as `1.0x`.\n\n### Does this PR introduce _any_ user-facing change?\n\nNo.\n\n### How was this patch tested?\nManually review.\n\nCloses #35219 from williamhyun/benchmark.\n\nAuthored-by: William Hyun <william@apache.org>\nSigned-off-by: Dongjoon Hyun <dongjoon@apache.org>"", 'distinct': False, 'url': 'https://api.github.com/repos/warrenzhu25/spark/commits/4c59a830a6a235400d0184fb6ce24c9e054d3e4b'}]}",,Scala
20907523966,DeleteEvent,warrenzhu25/spark,0.0,2022-03-24T05:02:45Z,"{'ref': 'insight', 'ref_type': 'branch', 'pusher_type': 'user'}",,Scala
20907500038,DeleteEvent,warrenzhu25/spark,0.0,2022-03-24T05:00:14Z,"{'ref': 'dr-elephant', 'ref_type': 'branch', 'pusher_type': 'user'}",,Scala
20907493803,DeleteEvent,warrenzhu25/spark,0.0,2022-03-24T04:59:34Z,"{'ref': 'mongo', 'ref_type': 'branch', 'pusher_type': 'user'}",,Scala
20907488034,DeleteEvent,warrenzhu25/spark,0.0,2022-03-24T04:58:54Z,"{'ref': 'grid', 'ref_type': 'branch', 'pusher_type': 'user'}",,Scala
20907483765,DeleteEvent,warrenzhu25/spark,0.0,2022-03-24T04:58:23Z,"{'ref': 'diagonsis', 'ref_type': 'branch', 'pusher_type': 'user'}",,Scala
20907480006,DeleteEvent,warrenzhu25/spark,0.0,2022-03-24T04:57:58Z,"{'ref': 'livy', 'ref_type': 'branch', 'pusher_type': 'user'}",,Scala
20907476290,DeleteEvent,warrenzhu25/spark,0.0,2022-03-24T04:57:32Z,"{'ref': 'la', 'ref_type': 'branch', 'pusher_type': 'user'}",,Scala
20907454897,DeleteEvent,warrenzhu25/spark,0.0,2022-03-24T04:55:10Z,"{'ref': 'hadoop-3.3', 'ref_type': 'branch', 'pusher_type': 'user'}",,Scala
20907441256,DeleteEvent,warrenzhu25/spark,0.0,2022-03-24T04:53:38Z,"{'ref': 'k8slog', 'ref_type': 'branch', 'pusher_type': 'user'}",,Scala
